"G024SG","G020SG","G048SG","G057SG","G021SG","G020SG.1","G014SG","G006SG","G016SG","G039SG","G009SG","G034SG","G051SG","G022SG","G059SG","G002SG","G058SG","G021SG.1","G059SG.1","G029SG","G019SG","G054SG","G033SG","G037SG","G004SG","G008SG","G010SG","G041SG","G017SG","G032SG","G003SG","G041SG.1","G033SG.1","G037SG.1","G004SG.1","G046SG","G052SG","G047SG","G054SG.1","G013SG","G053SG","G034SG.1","G026SG","G009SG.1","G051SG.1","G024SG.1","G048SG.1","G047SG.1","G018SG","G012SG","G028SG","G045SG","G050SG","G057SG.1","G035SG","G018SG.1","G022SG.1","G012SG.1","G027SG","G008SG.1","G038SG","G044SG","G031SG","G052SG.1","G014SG.1","G030SG","G005SG","G042SG","G017SG.1","G056SG","G039SG.1","G060SG","G001SG","G043SG","G044SG.1","G042SG.1","G040SG","G031SG.1","G013SG.1","G010SG.1","G053SG.1","G058SG.1","G005SG.1","G060SG.1","G001SG.1","G026SG.1","G006SG.1","G027SG.1","G035SG.1","G038SG.1","G045SG.1","G016SG.1","G025SG","G003SG.1","G019SG.1","G046SG.1","G043SG.1","G032SG.1","G030SG.1","G028SG.1","G036SG","G007SG","G025SG.1","G036SG.1","G007SG.1","G029SG.1","G002SG.1","G040SG.1","G056SG.1","G050SG.1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,15,23,0,128,0,0,0,0,1,0,0,0,0,0,291,0,118,0,0,0,0,0,0,374,5,6,160,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,298,4,0,0,0,234,139,44,7,24,0,0,0,0,0,141,2,53,0,0,2,27,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,175,81,31,341,0,0,85,6,30,0,0,356,0,0,20,55,3,165,114,0,0,210,0,3
4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,1,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
